Gesamt;AnzahlKHges;StufeSort;AnteilKH
bis 49 Betten;173;001 bis 049 Betten;1
50 bis 99 Betten;211;050 bis 099 Betten;1
100 bis 149 Betten;202;100 bis 149 Betten;1
150 bis 199 Betten;179;150 bis 199 Betten;1
200 bis 249 Betten;126;200 bis 249 Betten;1
250 bis 299 Betten;102;250 bis 299 Betten;1
300 bis 399 Betten;179;300 bis 399 Betten;1
400 bis 499 Betten;120;400 bis 499 Betten;1
500 bis 599 Betten;78;500 bis 599 Betten;1
600 bis 799 Betten;66;600 bis 799 Betten;1
800 bis 999 Betten;32;800 bis 999 Betten;1
1000 Betten und mehr;52;ab 1000 Betten;1
