drg;name;AnzahlHA;mwVwd;vwdStd;AnzKLHA;AntKLHA;AnzLLHA;AntLLHA
901A;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit bestimmter komplizierender Konstellation oder Strahlentherapie oder endovaskulärer Implantation von Stent-Prothesen an der Aorta;527;25,0493;18,7791;98;0,186;70;0,1328
901B;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne Strahlentherapie, ohne endovaskuläre Implantation von Stent-Prothesen an der Aorta, mit hochkomplexer OR-Prozedur oder komplizierender Konstellation;3959;22,9189;14,8202;396;0,10;492;0,1243
901C;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne komplizierende Konstellation, ohne Strahlentherapie, ohne hochkomplexe OR-Prozedur, mit komplexer OR-Prozedur oder mit anderen Eingriffen an Kopf und Wirbelsäule, Alter < 1 Jahr oder bei Para- / Tetraplegie;1544;19,3562;12,5633;163;0,1056;227;0,147
901D;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne komplizierende Konstellation, ohne Strahlentherapie, ohne komplexe OR-Prozedur, ohne andere Eingriffe an Kopf und Wirbelsäule, Alter > 0 Jahre, außer bei Para- / Tetraplegie;29384;13,9005;10,5917;4770;0,1623;2726;0,0928
902Z;Nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose;10396;10,3359;8,8159;2445;0,2352;731;0,0703
960Z;Nicht gruppierbar;92;6,2283;9,0592;22;0,2391;15;0,163
961Z;Unzulässige Hauptdiagnose;196;9,0714;19,0851;129;0,6582;24;0,1224
962Z;Unzulässige Kodierung einer Sectio caesarea;2;2,00;1,4142;0;0,00;2;1,00
963Z;Neonatale Diagnose unvereinbar mit Alter oder Gewicht;107;8,0841;9,6643;23;0,215;40;0,3738
A01A;Lebertransplantation mit Beatmung > 179 Stunden oder kombinierter Dünndarmtransplantation;128;64,875;32,1451;7;0,0547;52;0,4063
A01B;Lebertransplantation ohne kombinierte Dünndarmtransplantation mit Beatmung > 59 und < 180 Stunden oder mit Transplantatabstoßung oder mit kombinierter Nierentransplantation oder Alter < 6 Jahre;279;45,276;28,6668;11;0,0394;79;0,2832
A01C;Lebertransplantation ohne kombinierte Dünndarmtransplantation, ohne Beatmung > 59 Stunden, ohne Transplantatabstoßung, ohne kombinierte Nierentransplantation, Alter > 5 Jahre;356;28,00;16,9822;4;0,0112;86;0,2416
A02Z;Transplantation von Niere und Pankreas;87;32,4828;21,493;0;0,00;16;0,1839
A03A;Lungentransplantation mit Beatmung > 179 Stunden;73;52,0274;30,3827;3;0,0411;20;0,274
A03B;Lungentransplantation ohne Beatmung > 179 Stunden;227;34,7665;21,5002;4;0,0176;64;0,2819
A04A;Knochenmarktransplantation / Stammzelltransfusion, allogen, mit zweiter Knochenmarktransplantation / Stammzelltransfusion im selben Aufenthalt;14;96,1429;33,3924;0;0,00;0;0,00
A04B;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom oder mit Graft-versus-host-Krankheit Grad III und IV, mit In-vitro-Aufbereitung oder Alter < 16 Jahre;350;65,8314;40,4544;2;0,0057;114;0,3257
