kategorie;kategoriename;Anzahl HA;VwdMw;stdVwd;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
A00;Cholera;-999;-999,00;-999,00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
A01;Typhus abdominalis und Paratyphus;117;9,8034;7,1236;0;15;8;16;6;15;13;9;5;3;3;4;4;1;2;6;3;2;1;1;0,00;0,1282;0,0684;0,1368;0,0513;0,1282;0,1111;0,0769;0,0427;0,0256;0,0256;0,0342;0,0342;0,0085;0,0171;0,0513;0,0256;0,0171;0,0085;0,0085
A02;Sonstige Salmonelleninfektionen;4993;6,1722;5,7113;176;619;500;344;388;284;211;112;118;122;160;195;213;215;221;299;342;238;161;75;0,0352;0,124;0,1001;0,0689;0,0777;0,0569;0,0423;0,0224;0,0236;0,0244;0,032;0,0391;0,0427;0,0431;0,0443;0,0599;0,0685;0,0477;0,0322;0,015
A03;Shigellose [Bakterielle Ruhr];77;4,9221;3,1362;0;9;3;2;8;8;7;9;6;7;3;5;3;2;1;3;1;0;0;0;0,00;0,1169;0,039;0,026;0,1039;0,1039;0,0909;0,1169;0,0779;0,0909;0,039;0,0649;0,039;0,026;0,013;0,039;0,013;0,00;0,00;0,00
A04;Sonstige bakterielle Darminfektionen;47359;8,7466;7,8442;567;1058;724;891;1580;1910;1531;1125;876;1058;1520;1660;1910;2238;2411;4377;6543;6459;5916;3005;0,012;0,0223;0,0153;0,0188;0,0334;0,0403;0,0323;0,0238;0,0185;0,0223;0,0321;0,0351;0,0403;0,0473;0,0509;0,0924;0,1382;0,1364;0,1249;0,0635
A05;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert;1063;2,6745;7,1676;7;15;15;36;54;86;95;71;55;55;82;76;53;45;58;58;82;54;44;22;0,0066;0,0141;0,0141;0,0339;0,0508;0,0809;0,0894;0,0668;0,0517;0,0517;0,0771;0,0715;0,0499;0,0423;0,0546;0,0546;0,0771;0,0508;0,0414;0,0207
A06;Amöbiasis;126;7,746;5,5956;0;2;6;2;9;4;12;6;7;14;7;7;11;5;8;10;6;5;5;0;0,00;0,0159;0,0476;0,0159;0,0714;0,0317;0,0952;0,0476;0,0556;0,1111;0,0556;0,0556;0,0873;0,0397;0,0635;0,0794;0,0476;0,0397;0,0397;0,00
A07;Sonstige Darmkrankheiten durch Protozoen;572;6,1049;5,9342;7;26;47;50;42;37;41;32;23;29;36;40;29;24;23;31;21;16;12;6;0,0122;0,0455;0,0822;0,0874;0,0734;0,0647;0,0717;0,0559;0,0402;0,0507;0,0629;0,0699;0,0507;0,042;0,0402;0,0542;0,0367;0,028;0,021;0,0105
A08;Virusbedingte und sonstige näher bezeichnete Darminfektionen;49987;3,8018;3,4841;6808;16520;3843;1841;1617;1441;1395;1090;750;649;862;935;899;1089;1024;1684;2270;2105;1945;1220;0,1362;0,3305;0,0769;0,0368;0,0323;0,0288;0,0279;0,0218;0,015;0,013;0,0172;0,0187;0,018;0,0218;0,0205;0,0337;0,0454;0,0421;0,0389;0,0244
A09;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs;153092;3,693;3,8598;9459;17701;9208;8623;9589;8888;7492;5971;4599;4351;5291;5428;5203;5370;5172;8107;10369;9343;8133;4795;0,0618;0,1156;0,0601;0,0563;0,0626;0,0581;0,0489;0,039;0,03;0,0284;0,0346;0,0355;0,034;0,0351;0,0338;0,053;0,0677;0,061;0,0531;0,0313
