viersteller;vierstellername;Anzahl HA;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
1-100;Klinische Untersuchung in Allgemeinanästhesie;14748;866;1404;707;473;413;309;378;426;453;489;755;881;992;966;1033;1378;1308;871;462;184;0,0587;0,0952;0,0479;0,0321;0,028;0,021;0,0256;0,0289;0,0307;0,0332;0,0512;0,0597;0,0673;0,0655;0,07;0,0934;0,0887;0,0591;0,0313;0,0125
1-202;Diagnostik zur Feststellung des Hirntodes;1281;11;12;5;13;20;33;32;43;60;76;109;138;141;117;94;131;117;74;41;14;0,0086;0,0094;0,0039;0,0101;0,0156;0,0258;0,025;0,0336;0,0468;0,0593;0,0851;0,1077;0,1101;0,0913;0,0734;0,1023;0,0913;0,0578;0,032;0,0109
1-203;Invasive Funktionsdiagnostik des Nervensystems;1482;2;5;10;32;52;56;73;62;72;97;125;155;129;149;130;154;110;42;25;2;0,0013;0,0034;0,0067;0,0216;0,0351;0,0378;0,0493;0,0418;0,0486;0,0655;0,0843;0,1046;0,087;0,1005;0,0877;0,1039;0,0742;0,0283;0,0169;0,0013
1-204;Untersuchung des Liquorsystems;242031;5565;5730;4739;5157;8402;11433;12495;12873;12209;14422;18519;20013;18223;16844;14858;22179;21372;11115;4877;1006;0,023;0,0237;0,0196;0,0213;0,0347;0,0472;0,0516;0,0532;0,0504;0,0596;0,0765;0,0827;0,0753;0,0696;0,0614;0,0916;0,0883;0,0459;0,0202;0,0042
1-205;Elektromyographie (EMG);70162;107;62;93;175;701;1177;1438;1780;2230;3237;5374;6666;6872;6682;6328;9859;9762;4931;2221;467;0,0015;0,0009;0,0013;0,0025;0,01;0,0168;0,0205;0,0254;0,0318;0,0461;0,0766;0,095;0,0979;0,0952;0,0902;0,1405;0,1391;0,0703;0,0317;0,0067
1-206;Neurographie;156055;98;295;289;665;1903;2859;3670;4388;4911;6858;10514;13173;13753;13769;13210;21401;23092;13059;6574;1574;0,0006;0,0019;0,0019;0,0043;0,0122;0,0183;0,0235;0,0281;0,0315;0,0439;0,0674;0,0844;0,0881;0,0882;0,0846;0,1371;0,148;0,0837;0,0421;0,0101
1-207;Elektroenzephalographie (EEG);584100;18867;28758;26266;31113;30453;16377;15453;14327;13812;17406;25527;30748;31391;34028;34039;55036;65627;48446;33020;13406;0,0323;0,0492;0,045;0,0533;0,0521;0,028;0,0265;0,0245;0,0236;0,0298;0,0437;0,0526;0,0537;0,0583;0,0583;0,0942;0,1124;0,0829;0,0565;0,023
1-208;Registrierung evozierter Potentiale;695874;353096;4561;2306;2740;8994;16354;20121;21165;20717;24740;31587;32722;28216;24727;21629;29776;28418;15102;7182;1721;0,5074;0,0066;0,0033;0,0039;0,0129;0,0235;0,0289;0,0304;0,0298;0,0356;0,0454;0,047;0,0405;0,0355;0,0311;0,0428;0,0408;0,0217;0,0103;0,0025
1-209;Komplexe Diagnostik bei Spina bifida;8;1;0;0;2;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0,125;0,00;0,00;0,25;0,125;0,25;0,00;0,00;0,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-20a;Andere neurophysiologische Untersuchungen;3188;0;0;1;3;9;16;25;26;36;66;135;223;279;369;422;606;591;278;90;13;0,00;0,00;0,0003;0,0009;0,0028;0,005;0,0078;0,0082;0,0113;0,0207;0,0423;0,0699;0,0875;0,1157;0,1324;0,1901;0,1854;0,0872;0,0282;0,0041
1-20b;Magnetenzephalographie (MEG);27;0;0;0;1;1;4;7;6;2;2;0;2;0;1;0;0;0;0;0;1;0,00;0,00;0,00;0,037;0,037;0,1481;0,2593;0,2222;0,0741;0,0741;0,00;0,0741;0,00;0,037;0,00;0,00;0,00;0,00;0,00;0,037
1-20c;Navigierte transkranielle Magnetstimulation (nTMS);17026;1;0;6;11;360;791;971;1108;1002;1258;1716;1537;1433;1165;1283;1649;1502;826;342;65;0,0001;0,00;0,0004;0,0006;0,0211;0,0465;0,057;0,0651;0,0589;0,0739;0,1008;0,0903;0,0842;0,0684;0,0754;0,0969;0,0882;0,0485;0,0201;0,0038
1-210;Nichtinvasive Video-EEG-Intensivdiagnostik zur Klärung eines Verdachts auf Epilepsie oder einer epilepsiechirurgischen Operationsindikation;4148;31;105;152;179;449;481;474;357;296;297;332;302;226;175;92;90;79;22;9;0;0,0075;0,0253;0,0366;0,0432;0,1082;0,116;0,1143;0,0861;0,0714;0,0716;0,08;0,0728;0,0545;0,0422;0,0222;0,0217;0,019;0,0053;0,0022;0,00
1-211;Invasive Video-EEG-Intensivdiagnostik bei Epilepsie zur Klärung einer epilepsiechirurgischen Operationsindikation;164;0;4;5;4;17;26;25;21;11;19;15;6;6;2;2;0;1;0;0;0;0,00;0,0244;0,0305;0,0244;0,1037;0,1585;0,1524;0,128;0,0671;0,1159;0,0915;0,0366;0,0366;0,0122;0,0122;0,00;0,0061;0,00;0,00;0,00
1-212;Invasive intraoperative Epilepsiediagnostik;214;1;2;0;6;3;4;5;5;6;11;28;18;25;20;13;19;29;13;6;0;0,0047;0,0093;0,00;0,028;0,014;0,0187;0,0234;0,0234;0,028;0,0514;0,1308;0,0841;0,1168;0,0935;0,0607;0,0888;0,1355;0,0607;0,028;0,00
1-213;Syndromdiagnose bei komplizierten Epilepsien;2070;35;135;173;177;222;247;180;138;116;149;143;131;97;50;36;24;10;3;1;3;0,0169;0,0652;0,0836;0,0855;0,1072;0,1193;0,087;0,0667;0,056;0,072;0,0691;0,0633;0,0469;0,0242;0,0174;0,0116;0,0048;0,0014;0,0005;0,0014
1-220;Messung des Augeninnendrucks;57827;4;15;171;420;486;446;537;651;768;1420;2587;3739;4586;5885;6539;10309;10403;5471;2690;700;0,0001;0,0003;0,003;0,0073;0,0084;0,0077;0,0093;0,0113;0,0133;0,0246;0,0447;0,0647;0,0793;0,1018;0,1131;0,1783;0,1799;0,0946;0,0465;0,0121
1-242;Audiometrie;114267;45746;4894;4114;2154;2033;1954;2493;2774;2733;3391;4771;5980;5968;5733;4595;5741;4926;2623;1302;342;0,4003;0,0428;0,036;0,0189;0,0178;0,0171;0,0218;0,0243;0,0239;0,0297;0,0418;0,0523;0,0522;0,0502;0,0402;0,0502;0,0431;0,023;0,0114;0,003
1-243;Phoniatrie;5816;229;331;578;96;45;27;61;53;76;123;227;340;460;475;433;711;683;444;289;135;0,0394;0,0569;0,0994;0,0165;0,0077;0,0046;0,0105;0,0091;0,0131;0,0211;0,039;0,0585;0,0791;0,0817;0,0744;0,1222;0,1174;0,0763;0,0497;0,0232
1-245;Rhinomanometrie;25235;2;154;208;227;937;1409;1593;1619;1482;1866;2428;2835;2654;2246;1640;1879;1431;482;114;29;0,0001;0,0061;0,0082;0,009;0,0371;0,0558;0,0631;0,0642;0,0587;0,0739;0,0962;0,1123;0,1052;0,089;0,065;0,0745;0,0567;0,0191;0,0045;0,0011
1-247;Olfaktometrie und Gustometrie;15680;1;26;120;219;753;1107;1275;1210;1073;1242;1459;1571;1351;1128;826;1018;842;322;117;20;0,0001;0,0017;0,0077;0,014;0,048;0,0706;0,0813;0,0772;0,0684;0,0792;0,093;0,1002;0,0862;0,0719;0,0527;0,0649;0,0537;0,0205;0,0075;0,0013
1-265;Elektrophysiologische Untersuchung des Herzens, kathetergestützt;79924;3;21;159;491;1180;1599;1550;1520;1922;2823;4911;6954;8247;10074;9736;13700;10126;3704;1057;147;0,00;0,0003;0,002;0,0061;0,0148;0,02;0,0194;0,019;0,024;0,0353;0,0614;0,087;0,1032;0,126;0,1218;0,1714;0,1267;0,0463;0,0132;0,0018
1-266;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt;170412;373;293;313;858;1740;1714;1504;1527;1706;2508;4415;6367;8402;11238;13580;26007;34886;27574;18188;7219;0,0022;0,0017;0,0018;0,005;0,0102;0,0101;0,0088;0,009;0,01;0,0147;0,0259;0,0374;0,0493;0,0659;0,0797;0,1526;0,2047;0,1618;0,1067;0,0424
