Bundesland_A;Stufe;Anzahl KH;mwFallzahlHA;mwVWD;cmi;antSTF;BLCODE;BettenstufeSort
01_Schleswig-Holstein;bis 49 Betten;11;661,8182;12,0818;0,7722;0,0676;01;b0049 
01_Schleswig-Holstein;50 bis 99 Betten;7;1817,8571;13,9571;1,5169;0,0064;01;b0099 
01_Schleswig-Holstein;100 bis 149 Betten;3;10050,3333;9,20;1,08;0,2737;01;b0149 
01_Schleswig-Holstein;150 bis 199 Betten;5;7823,00;5,76;0,94;0,0407;01;b0199 
01_Schleswig-Holstein;200 bis 249 Betten;4;7304,75;7,375;1,2568;0,0189;01;b0249 
01_Schleswig-Holstein;250 bis 299 Betten;0;0,00;0,00;0,00;0,00;01;b0299 
01_Schleswig-Holstein;300 bis 399 Betten;6;12921,3333;6,7333;1,1743;0,0239;01;b0399 
01_Schleswig-Holstein;400 bis 499 Betten;4;18113,00;5,775;1,0893;0,0384;01;b0499 
01_Schleswig-Holstein;500 bis 599 Betten;3;23905,3333;6,70;1,0193;0,0682;01;b0599 
01_Schleswig-Holstein;600 bis 799 Betten;2;27888,50;6,50;1,028;0,0749;01;b0799 
01_Schleswig-Holstein;800 bis 999 Betten;0;0,00;0,00;0,00;0,00;01;b0999 
01_Schleswig-Holstein;1000 Betten und mehr;3;43711,6667;6,20;1,302;0,0381;01;b1000+
01_Schleswig-Holstein;Ohne Angabe;-999;-999,00;-999,00;-999,00;-9,99;01;oA    
02_Hamburg;bis 49 Betten;2;965,50;7,00;3,9285;0,0057;02;b0049 
02_Hamburg;50 bis 99 Betten;-999;-999,00;-999,00;-999,00;-9,99;02;b0099 
02_Hamburg;100 bis 149 Betten;5;6317,40;5,14;1,0418;0,0128;02;b0149 
02_Hamburg;150 bis 199 Betten;5;8664,20;7,82;1,361;0,0309;02;b0199 
02_Hamburg;200 bis 249 Betten;2;9255,00;7,95;1,6045;0,0254;02;b0249 
02_Hamburg;250 bis 299 Betten;2;12557,50;7,50;1,178;0,0238;02;b0299 
02_Hamburg;300 bis 399 Betten;-999;-999,00;-999,00;-999,00;-9,99;02;b0399 
02_Hamburg;400 bis 499 Betten;0;0,00;0,00;0,00;0,00;02;b0499 
02_Hamburg;500 bis 599 Betten;4;22982,75;7,80;1,4133;0,0191;02;b0599 
02_Hamburg;600 bis 799 Betten;5;32455,40;6,28;1,1958;0,0274;02;b0799 
02_Hamburg;800 bis 999 Betten;0;0,00;0,00;0,00;0,00;02;b0999 
02_Hamburg;1000 Betten und mehr;-999;-999,00;-999,00;-999,00;-9,99;02;b1000+
02_Hamburg;Ohne Angabe;-999;-999,00;-999,00;-999,00;-9,99;02;oA    
03_Niedersachsen;bis 49 Betten;14;1019,1429;9,4071;1,0019;0,0348;03;b0049 
03_Niedersachsen;50 bis 99 Betten;22;2706,7273;11,2045;1,0142;0,0406;03;b0099 
03_Niedersachsen;100 bis 149 Betten;28;4908,7857;7,0607;0,9873;0,0391;03;b0149 
03_Niedersachsen;150 bis 199 Betten;22;7129,6818;6,0545;1,061;0,0338;03;b0199 
