Bettenstufe;SummeKH;mwFallzahlHA;mwVwd;cmi;antSTF;BettenstufeSort
bis 49 Betten;134;985,7463;13,9346;1,515;0,0203;b0049
50 bis 99 Betten;196;2366,8622;10,762;1,3935;0,0234;b0099
100 bis 149 Betten;201;4261,2537;10,6688;1,351;0,0396;b0149
150 bis 199 Betten;179;6871,5363;7,366;1,1376;0,0298;b0199
200 bis 249 Betten;125;9198,496;6,2588;1,0441;0,0284;b0249
250 bis 299 Betten;102;11198,451;6,5104;1,0236;0,0274;b0299
300 bis 399 Betten;179;13897,1173;6,8102;1,0871;0,0278;b0399
400 bis 499 Betten;120;19587,9083;6,0637;1,0183;0,0292;b0499
500 bis 599 Betten;78;22983,8846;6,4345;1,0869;0,027;b0599
600 bis 799 Betten;66;28406,2576;6,4974;1,1073;0,0283;b0799
800 bis 999 Betten;32;37982,7813;6,5051;1,1836;0,0275;b0999
1000 Betten und mehr;52;56843,7115;6,5674;1,3469;0,0301;b1000+
Ohne Angabe;17;5415,5882;7,52;0,9357;0,0243;oA
