Stufe;SummeBA;SummeBAw;SummeBAm;SummeBAu;Anteilw;Anteilm;Anteilu;SSTUFE
unter 1 Jahr;47028;22914;24113;1;0,4872;0,5127;0,00;00
1 bis unter 5 Jahre;10122;4136;5986;0;0,4086;0,5914;0,00;01
5 bis unter 10 Jahre;9073;4131;4941;1;0,4553;0,5446;0,0001;05
10 bis unter 15 Jahre;6394;3344;3050;0;0,523;0,477;0,00;10
15 bis unter 20 Jahre;19071;11885;7186;0;0,6232;0,3768;0,00;15
20 bis unter 25 Jahre;30438;19983;10455;0;0,6565;0,3435;0,00;20
25 bis unter 30 Jahre;39434;28852;10580;2;0,7317;0,2683;0,0001;25
30 bis unter 35 Jahre;41472;31318;10154;0;0,7552;0,2448;0,00;30
35 bis unter 40 Jahre;30715;21109;9606;0;0,6873;0,3127;0,00;35
40 bis unter 45 Jahre;27435;15821;11614;0;0,5767;0,4233;0,00;40
45 bis unter 50 Jahre;35010;18771;16239;0;0,5362;0,4638;0,00;45
50 bis unter 55 Jahre;38317;19409;18907;1;0,5065;0,4934;0,00;50
55 bis unter 60 Jahre;37446;17512;19932;2;0,4677;0,5323;0,0001;55
60 bis unter 65 Jahre;39277;18442;20833;2;0,4695;0,5304;0,0001;60
65 bis unter 70 Jahre;37148;17859;19289;0;0,4808;0,5192;0,00;65
70 bis unter 75 Jahre;51621;25070;26550;1;0,4857;0,5143;0,00;70
75 bis unter 80 Jahre;52145;26799;25346;0;0,5139;0,4861;0,00;75
80 bis unter 85 Jahre;30915;16900;14015;0;0,5467;0,4533;0,00;80
85 bis unter 90 Jahre;17793;10256;7537;0;0,5764;0,4236;0,00;85
90 Jahre und älter;6571;4349;2222;0;0,6618;0,3382;0,00;90
