drg;name;AnzahlBA;mwVwd;vwdStd;AnzKLBA;AntKLBA;AnzLLBA;AntLLBA
901A;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit bestimmter komplizierender Konstellation oder Strahlentherapie oder endovaskulärer Implantation von Stent-Prothesen an der Aorta;0;0,00;NULL;0;0,00;0;0,00
901B;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne Strahlentherapie, ohne endovaskuläre Implantation von Stent-Prothesen an der Aorta, mit hochkomplexer OR-Prozedur oder komplizierender Konstellation;6;19,1667;16,8097;0;0,00;1;0,1667
901C;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne komplizierende Konstellation, ohne Strahlentherapie, ohne hochkomplexe OR-Prozedur, mit komplexer OR-Prozedur oder mit anderen Eingriffen an Kopf und Wirbelsäule, Alter < 1 Jahr oder bei Para- / Tetraplegie;6;8,50;8,8261;3;0,50;0;0,00
901D;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne komplizierende Konstellation, ohne Strahlentherapie, ohne komplexe OR-Prozedur, ohne andere Eingriffe an Kopf und Wirbelsäule, Alter > 0 Jahre, außer bei Para- / Tetraplegie;275;7,1818;7,7777;118;0,4291;6;0,0218
902Z;Nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose;149;6,4295;7,0349;63;0,4228;3;0,0201
960Z;Nicht gruppierbar;0;0,00;NULL;0;0,00;0;0,00
961Z;Unzulässige Hauptdiagnose;8;1,00;0,00;8;1,00;0;0,00
962Z;Unzulässige Kodierung einer Sectio caesarea;0;0,00;NULL;0;0,00;0;0,00
963Z;Neonatale Diagnose unvereinbar mit Alter oder Gewicht;0;0,00;NULL;0;0,00;0;0,00
A01A;Lebertransplantation mit Beatmung > 179 Stunden oder kombinierter Dünndarmtransplantation;0;0,00;NULL;0;0,00;0;0,00
A01B;Lebertransplantation ohne kombinierte Dünndarmtransplantation mit Beatmung > 59 und < 180 Stunden oder mit Transplantatabstoßung oder mit kombinierter Nierentransplantation oder Alter < 6 Jahre;0;0,00;NULL;0;0,00;0;0,00
A01C;Lebertransplantation ohne kombinierte Dünndarmtransplantation, ohne Beatmung > 59 Stunden, ohne Transplantatabstoßung, ohne kombinierte Nierentransplantation, Alter > 5 Jahre;0;0,00;NULL;0;0,00;0;0,00
A02Z;Transplantation von Niere und Pankreas;0;0,00;NULL;0;0,00;0;0,00
A03A;Lungentransplantation mit Beatmung > 179 Stunden;0;0,00;NULL;0;0,00;0;0,00
A03B;Lungentransplantation ohne Beatmung > 179 Stunden;0;0,00;NULL;0;0,00;0;0,00
A04A;Knochenmarktransplantation / Stammzelltransfusion, allogen, mit zweiter Knochenmarktransplantation / Stammzelltransfusion im selben Aufenthalt;0;0,00;NULL;0;0,00;0;0,00
A04B;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom oder mit Graft-versus-host-Krankheit Grad III und IV, mit In-vitro-Aufbereitung oder Alter < 16 Jahre;0;0,00;NULL;0;0,00;0;0,00
A04C;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom, HLA-verschieden oder bei Plasmozytom, mit Graft-versus-host-Krankheit Grad III und IV, ohne In-vitro-Aufbereitung, Alter > 15 Jahre;0;0,00;NULL;0;0,00;0;0,00
