kategorie;kategoriename;Anzahl BA;VwdMw;stdVwd;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
A00;Cholera;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A01;Typhus abdominalis und Paratyphus;-999;-999,00;-999,00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
A02;Sonstige Salmonelleninfektionen;34;6,3824;4,178;2;3;3;1;1;1;3;2;1;0;1;1;2;0;0;3;4;5;1;0;0,0588;0,0882;0,0882;0,0294;0,0294;0,0294;0,0882;0,0588;0,0294;0,00;0,0294;0,0294;0,0588;0,00;0,00;0,0882;0,1176;0,1471;0,0294;0,00
A03;Shigellose [Bakterielle Ruhr];-999;-999,00;-999,00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
A04;Sonstige bakterielle Darminfektionen;279;8,5197;6,05;3;4;3;4;6;14;8;2;5;4;6;11;12;8;18;27;41;38;45;20;0,0108;0,0143;0,0108;0,0143;0,0215;0,0502;0,0287;0,0072;0,0179;0,0143;0,0215;0,0394;0,043;0,0287;0,0645;0,0968;0,147;0,1362;0,1613;0,0717
A05;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert;5;2,00;1,2247;0;2;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0,00;0,40;0,00;0,00;0,00;0,20;0,00;0,20;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A06;Amöbiasis;-999;-999,00;-999,00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
A07;Sonstige Darmkrankheiten durch Protozoen;5;7,80;4,0249;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,40;0,00;0,00;0,00;0,20;0,00
A08;Virusbedingte und sonstige näher bezeichnete Darminfektionen;309;4,1521;3,2533;40;95;40;25;4;6;12;5;1;1;4;9;4;7;7;9;11;14;10;5;0,1294;0,3074;0,1294;0,0809;0,0129;0,0194;0,0388;0,0162;0,0032;0,0032;0,0129;0,0291;0,0129;0,0227;0,0227;0,0291;0,0356;0,0453;0,0324;0,0162
A09;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs;1103;3,3744;2,8262;41;126;75;69;65;73;62;47;33;34;35;33;45;39;42;64;66;63;53;38;0,0372;0,1142;0,068;0,0626;0,0589;0,0662;0,0562;0,0426;0,0299;0,0308;0,0317;0,0299;0,0408;0,0354;0,0381;0,058;0,0598;0,0571;0,0481;0,0345
A15;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert;7;17,5714;20,0321;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;2;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1429;0,1429;0,1429;0,1429;0,00;0,00;0,00;0,1429;0,00;0,00;0,2857;0,00;0,00
A16;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert;7;15,1429;10,5582;0;0;0;0;0;0;0;1;2;0;0;1;1;2;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1429;0,2857;0,00;0,00;0,1429;0,1429;0,2857;0,00;0,00;0,00;0,00;0,00;0,00
A17;Tuberkulose des Nervensystems;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
