viersteller;vierstellername;Anzahl BA;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
1-100;Klinische Untersuchung in Allgemeinanästhesie;57;0;4;4;1;0;1;1;2;2;2;8;4;3;2;3;3;10;5;2;0;0,00;0,0702;0,0702;0,0175;0,00;0,0175;0,0175;0,0351;0,0351;0,0351;0,1404;0,0702;0,0526;0,0351;0,0526;0,0526;0,1754;0,0877;0,0351;0,00
1-202;Diagnostik zur Feststellung des Hirntodes;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
1-203;Invasive Funktionsdiagnostik des Nervensystems;6;0;0;0;0;0;1;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,1667;0,00;0,00;0,00;0,00;0,3333;0,1667;0,3333;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-204;Untersuchung des Liquorsystems;92;1;2;0;1;2;3;0;3;3;1;7;8;7;8;9;12;12;9;4;0;0,0109;0,0217;0,00;0,0109;0,0217;0,0326;0,00;0,0326;0,0326;0,0109;0,0761;0,087;0,0761;0,087;0,0978;0,1304;0,1304;0,0978;0,0435;0,00
1-205;Elektromyographie (EMG);126;0;0;1;0;1;0;5;8;5;8;17;20;13;13;11;9;7;3;4;1;0,00;0,00;0,0079;0,00;0,0079;0,00;0,0397;0,0635;0,0397;0,0635;0,1349;0,1587;0,1032;0,1032;0,0873;0,0714;0,0556;0,0238;0,0317;0,0079
1-206;Neurographie;59;0;0;0;0;0;0;0;2;3;4;3;4;5;4;7;8;8;6;4;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0339;0,0508;0,0678;0,0508;0,0678;0,0847;0,0678;0,1186;0,1356;0,1356;0,1017;0,0678;0,0169
1-207;Elektroenzephalographie (EEG);300;3;29;31;63;15;3;8;10;6;10;20;21;12;16;11;13;13;11;4;1;0,01;0,0967;0,1033;0,21;0,05;0,01;0,0267;0,0333;0,02;0,0333;0,0667;0,07;0,04;0,0533;0,0367;0,0433;0,0433;0,0367;0,0133;0,0033
1-208;Registrierung evozierter Potentiale;13291;12434;5;0;0;4;9;25;30;24;27;48;74;48;79;105;149;145;67;17;1;0,9355;0,0004;0,00;0,00;0,0003;0,0007;0,0019;0,0023;0,0018;0,002;0,0036;0,0056;0,0036;0,0059;0,0079;0,0112;0,0109;0,005;0,0013;0,0001
1-209;Komplexe Diagnostik bei Spina bifida;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-20a;Andere neurophysiologische Untersuchungen;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
