DRG;name;Relativgewicht;AnzahlHA;AntAnGesFallzahl
P60C;Neugeborenes, verlegt < 5 Tage nach Aufnahme ohne signifikante OR-Prozedur, nicht zuverlegt, ohne Beatmung > 24 Stunden (Mindestverweildauer 24 Stunden für das Krankenhaus, in dem die Geburt stattfindet);0,135;10541;0,0006
P67D;Neugeborener Einling, Aufnahmegewicht > 2499 g ohne OR-Prozedur, ohne Beatmung > 95 Stunden, ohne schweres Problem, ohne anderes Problem oder ein Belegungstag;0,247;508162;0,0286
C64Z;Glaukom, Katarakt und Erkrankungen des Augenlides;0,251;34869;0,002
E63Z;Schlafapnoesyndrom oder kardiorespiratorische Polysomnographie bis 2 Belegungstage;0,270;113948;0,0064
E78Z;Kontrolle oder Optimierung einer bestehenden häuslichen Beatmung, bis 2 Belegungstage;0,288;22624;0,0013
N62B;Menstruationsstörungen und andere Erkrankungen der weiblichen Geschlechtsorgane ohne komplexe Diagnose;0,323;15726;0,0009
B80Z;Andere Kopfverletzungen;0,328;219665;0,0124
P66D;Neugeborenes, Aufnahmegewicht 2000 - 2499 g ohne signifikante OR-Prozedur, ohne Beatmung > 95 Stunden, ohne Problem oder neugeborener Mehrling, Aufnahmegewicht > 2499 g ohne OR-Prozedur, ohne Beatmung > 95 Stunden, ohne Problem oder ein Belegungstag;0,328;20146;0,0011
L64B;Harnsteine und Harnwegsobstruktion ohne äußerst schwere oder schwere CC;0,336;58551;0,0033
G72B;Andere leichte bis moderate Erkrankungen der Verdauungsorgane, Alter > 2 Jahre oder Abdominalschmerz oder mesenteriale Lymphadenitis, Alter > 2 Jahre und Alter < 56 Jahre oder ohne CC;0,352;136973;0,0077
D64Z;Laryngotracheitis, Laryngospasmus und Epiglottitis;0,357;9125;0,0005
O63Z;Abort ohne Dilatation und Kürettage, Aspirationskürettage oder Hysterotomie;0,363;4295;0,0002
O65C;Andere vorgeburtliche stationäre Aufnahme ohne äußerst schwere oder schwere CC, ohne komplexe Diagnose, ohne best. Placenta praevia oder ohne schwere CC, Schwangerschaftsdauer bis 25 oder mehr als 33 vollendete Wochen;0,376;141227;0,008
X64Z;Andere Krankheit verursacht durch Verletzung, Vergiftung oder toxische Wirkung;0,378;21573;0,0012
G72A;Andere leichte bis moderate Erkrankungen der Verdauungsorgane oder Abdominalschmerz oder mesenteriale Lymphadenitis, Alter < 3 Jahre;0,393;1224;0,0001
J65Z;Verletzung der Haut, Unterhaut und Mamma;0,393;149358;0,0084
O61Z;Stationäre Aufnahme nach Entbindung oder Abort ohne OR-Prozedur;0,394;15177;0,0009
C62Z;Hyphäma und konservativ behandelte Augenverletzungen;0,397;5914;0,0003
Z64D;Andere Faktoren, die den Gesundheitszustand beeinflussen und Nachbehandlung nach abgeschlossener Behandlung ohne Radiojoddiagnostik, ohne bestimmten Kontaktanlass;0,407;46428;0,0026
F74Z;Thoraxschmerz;0,410;119048;0,0067
