DRG;name;Relativgewicht;AnzahlHA;AntAnGesFallzahl
A06A;Beatmung > 1799 Stunden mit komplexer OR-Prozedur oder Polytrauma, mit hochkomplexem Eingriff oder intensivmedizinischer Komplexbehandlung > 3920 / 3680 Aufwandspunkte;64,137;385;0,00
A18Z;Beatmung > 999 Stunden und Transplantation von Leber, Lunge, Herz und Knochenmark oder Stammzelltransfusion;59,034;134;0,00
A06B;Beatmung > 1799 Stunden mit komplexer OR-Prozedur oder Polytrauma, ohne hochkomplexen Eingriff, ohne intensivmedizinische Komplexbehandlung > 3920 / 3680 Aufwandspunkte oder ohne komplexe OR-Prozedur, ohne Polytrauma;46,933;1161;0,0001
A07A;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 Aufwandspunkte, mit komplexer OR-Prozedur oder Polytrauma und int. Komplexbehandlung > 3920 / 3680 P. oder mit hochkomplexem oder dreizeitigem Eingriff;44,753;740;0,00
P61A;Neugeborenes, Aufnahmegewicht < 600 g mit signifikanter OR-Prozedur;40,734;226;0,00
A07B;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 Aufwandspunkte, mit komplexer OR-Prozedur und komplizierender Konstellation oder mit Polytrauma oder Alter < 16 Jahre;36,819;916;0,0001
P02A;Kardiothorakale oder Gefäßeingriffe bei Neugeborenen, Beatmung > 480 Stunden;35,079;94;0,00
P61C;Neugeborenes, Aufnahmegewicht 600 - 749 g mit signifikanter OR-Prozedur;34,652;268;0,00
A05A;Herztransplantation mit Beatmung > 179 Stunden oder Alter < 16 Jahre;34,594;88;0,00
A01A;Lebertransplantation mit Beatmung > 179 Stunden oder kombinierter Dünndarmtransplantation;34,449;128;0,00
P61B;Neugeborenes, Aufnahmegewicht < 600 g ohne signifikante OR-Prozedur;32,494;347;0,00
A03A;Lungentransplantation mit Beatmung > 179 Stunden;32,453;73;0,00
A07C;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 Aufwandspunkte, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, mit intensivmedizinischer Komplexbehandlung > 2352 / 2208 Aufwandspunkte;31,647;3200;0,0002
A04B;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom oder mit Graft-versus-host-Krankheit Grad III und IV, mit In-vitro-Aufbereitung oder Alter < 16 Jahre;29,457;350;0,00
A09A;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352 / 2208 P., mit angeb. Fehlbild. od. Tumorerkr., Alter < 3 J. od. mit kompl. OR-Proz. oder Polytrauma od. int. Komplexbeh. > 3430 / 3220 P. und hochkompl. Eingr. od. Alter < 16 J.;28,218;549;0,00
P62A;Neugeborenes, Aufnahmegewicht 750 - 999 g mit signifikanter OR-Prozedur;28,056;271;0,00
P61D;Neugeborenes, Aufnahmegewicht 600 - 749 g ohne signifikante OR-Prozedur;26,631;565;0,00
A07D;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne intensivmedizinische Komplexbehandlung > 2352 / 2208 Aufwandspunkte, mit komplexer Diagnose;26,401;654;0,00
A05B;Herztransplantation ohne Beatmung > 179 Stunden, Alter > 15 Jahre;25,432;174;0,00
A09B;Beatmung > 499 Stunden oder > 249 Stunden mit intensivmed. Komplexbehandlung > 2352 / 2208 Aufwandsp., mit kompl. OR-Prozedur od. Polytrauma od. intensivmed. Komplexbehandlung > 3430 / 3220 Aufwandsp., mit sehr kompl. Eingriff od. kompliz. Konstellation;24,973;4175;0,0002
